Don Mancini
Ron Hansen
Philip Railsback
Bill Kelly
Alan Sharp
Nick Villiers
Patrick McGrath
Manuel Fidello
Bruce Joel Rubin
David Griffiths
Angie Louise
Cathy Yuspa
Livingston Oden
Judy Morris
Irwin Yablans
The Vicious Brothers
Douglas J. Eboch
Trey Ellis
I. Marlene King
Morgan Land
Paul Fierlinger
Alex Mace
Barry Wernick
John Hoffman
John Kamps
Steve Meerson
Bruce Willis
W. Somerset Maugham
Noam Dromi
Albert Hughes
Ice Cube
Chris Conroy
Len Brown
Darnell Martin
Robin Chapman
Michael Meredith
Paul Mayersberg
Jesse Studenberg
Geoff LaTulippe
Jan de Bont
Oxide Pang Chun
Chazz Palminteri
Darryl Ponicsan
Scott Busby
Robert A. Heinlein
Jim Davis
Olatunde Osunsanmi
Jana K. Lensing
Leo Benvenuti
Eric Blakeney
David Scarpa
Tony Gilroy
Sacha Gervasi
Troy Neighbors
Darren Lemke
Bryan Anthony Pierre
Chris Radant
Christopher Gore
Greg DePaul
Alfred Uhry
Chris Soth
Francisca Matos
Roman Polanski
Dan Aykroyd
David Morrell
Bryan Bertino
Kevin Brodbin
David H. Steinberg
Skip Woods
Murray Salem
Joseph L. Galloway
Daniel Domscheit-Berg
Barry McEvoy
Steve Fishman
Sam Peckinpah
Don Roos
Don Calame
James Moran
Paul Rudnick
Pedro Almodóvar
Tyler Perry
Ed Solomon
Lee Eisenberg
Steve Koren
Anne Fontaine
Martin McDonagh
Nathaniel Hawthorne
Pece Dingo
Seth Hoffman
Bob Rafelson
Andy Stock
Ron Clark
Kristofor Brown
Alan Glynn
Daniel Chuba
Drew Pearce
Gary Scott Thompson
Frank Miller
Anthony Veiller
James C. Strouse
James Vanderbilt
John Cornell
Anna Boden
Mike Leigh
Scot Armstrong
Katie Aselton
Charles Kipps
Michael Palin
Ron Gelner
James Sallis
Virginia Korus Spragg
David Zucker
Feroz Abbas Khan
Beth Rigazio
Kathryn Scola
Heywood Gould
Stu Krieger
Paula Mazur
Alan Martin
Jim Lovell
George Webster
Brian Doyle-Murray
Matt Johnson
John L. Greene
Dito Montiel
Brandon Camp
Enric Pardo
Rob Thomas
Cheryl McKay
Mike White
Steven Gaydos
Jack Paglen
Matt Eggers
Lawrence Konner
James M. Cain
Laura Kasischke
Edward Neumeier
Lamar Trotti
Wes Craven
Mark Illsley
William Malone
Sally Potter
Mike Thompson
Ted Elliott
Louise Simonson
Stephen Mazur
Langston Hughes
Ben Hecht
Drew Goddard
William Douglas-Home
Dianne Houston
Wim Wenders
Joseph Finder
Rafael Moreu
Willie Morris
David Hoselton
George Ratliff
Court Crandall
Will Eisner
Iris Yamashita
Jim Burnstein
John Singleton
Ted Dekker
Mark Leyner
Brett Leonard
Alfonso Cuarón
Andre Dubus III
Mary Rodgers
Joe Camp
Isaac Asimov
Craig Wright
Gareth Edwards
Gayle Forman
David Roach
Roy Moore
David Seltzer
Erin Dignam
Derek Guiley
Gene Colan
Forry Smith
Gurinder Chadha
Al Septien
Mark Saltzman
Charles McKeown
Michael Bortman
Duane Adler
Blake Masters
Sam Hamm
Heinrich Harrer
Ian McKellen
Robin Hill
Lewis Colick
Patrick O'Brian
John Byrum
Matthew Robinson
Peter Cameron
Greg Coolidge
Randi Mayem Singer
Geoffrey Douglas
David Giler
Bill Walsh
Paul Schneider
Robert Duvall
Nicholas St. John
James DeMonaco
Ruth Prawer Jhabvala
Jane Murfin
David Madsen
Dan Fogelman
Bill Cosby
Bob Kachler
Sean Alexander Jefferson
Laura Hillenbrand
Alan Jacobs
Victor Villaseñor
Marc Behm
Dan Schneider
Garth Ennis
John J. McLaughlin
John Travis
Marc Klein
Daniel Handler
Tiffany Paulsen
Raymond Carver
Tim Rasmussen
Amy Harris
Sabrina Dhawan
Chris Morgan
Jim Rash
Rudolph Grey
Patrick Dewolf
Richard Phillips
Matthew Bright
Hubert Selby Jr.
Craig Ferguson
Brian Gatewood
Cédric Klapisch
Jim Abrahams
Jerry Juhl
Kelly Fremon
John Galt
Josh Appelbaum
Mary Shelley
Christopher Paolini
Larry Clark
Steve Gerber
Brent Simons
Elizabeth Cuthrell
Charles Belden
Fernley Phillips
Tom Gormican
Anthony Swofford
James Kerwin
Kaja Blackley
Jonathan Nolan
Michael Elliot
Harry Julian Fink
David Duncan
Andrew Gurland
Will Finn
Bob Peterson
Cinqué Lee
Joe Jarvis
Kurt Voss
Mark Herman
Josh A. Cagan
Robert Farrar
Kasi Lemmons
Alex Rivera
A.J. Quinnell
Carl Sagan
Suzan-Lori Parks
Eric Guggenheim
Deborah Curtis
Henry De Vere Stacpoole
Czenzi Ormonde
Dennis Shryack
John Fasano
Betsy Stahl
Alex Proyas
Lewis R. Foster
Robin U. Russin
Peter Straughan
David Lindsay-Abaire
Ken Li
Samuel Hopkins Adams
Harvey Miller
Sam Schreiber
Arthur H. Lewis
Queen Latifah
John Francis Daley
Chester Himes
Florian Henckel von Donnersmarck
David Wechter
John Norville
Shauna Cross
Lori Silverbush
Mark Childress
Max Landis
Michael Miner
Chris McKenna
Willard Huyck
Yael Bergman
Lance Khazei
Annie Mumolo
Ron Osborn
Rick Montano
Eduardo Sánchez
Scott Rosenberg
Gene Roddenberry
Nicole Eastman
David Battle
Leonard Ripps
Marc Lawrence
Curtis Hanson
Benedek Fliegauf
William Ivory
Drew Dowdle
Doris Kearns Goodwin
Mark Zakarin
Aline Brosh McKenna
Michael J. Bassett
Ira Levin
Michael Haneke
David Scinto
Carl Gottlieb
Eddie Guzelian
Jennifer Lee
George Richards
Arlene Sarner
Steve Bing
Matt Damon
Floria Sigismondi
Steve Martin
Raffaella Delle Donne
Casey Twenter
Spencer Susser
James Patterson
Chad Feehan
Jeremy Drysdale
Chris Gore
Jason Mantzoukas
Enrico Guazzoni
Mike Binder
Jay Anson
Nick Cassavetes
Charles Addams
Eddie Murphy
Bob Dylan
Robert Lence
Bernd Eichinger
Kevin Munroe
Dan Merkley
Robert Ben Garant
David Zelag Goodman
Tina Gordon Chism
Diana Erwin
Leslie Dixon
Gloria Katz
Joel Soisson
Jerry Leichtling
Mark L. Smith
Peter Handke
Stephen Milburn Anderson
Stephen Kendrick
Nicolás Giacobone
John Sayles
Blake Edwards
Adam Ellison
Mike Cahill
Aldous Huxley
Jorge Amado
Joby Harold
Oliver Butcher
Nick Pustay
Roger L. Simon
Juliet Snowden
Mark Jacobson
J.R. Ventimilia
Dave McKean
Don Winslow
Claire Cook
Tim Rice
Harper Lee
Silvio Horta
Émile Gaudreault
Anne Marisse
Vendela Vida
Rob Perez
Pete McCormack
Gage Lansky
Julie Powell
Neill Dela Llana
Wendell Wellman
Zak Penn
Nick Schenk
William Davies
Robert Rodat
Richard P. Henrick
Brian Koppelman
Mardik Martin
Henry Bromell
Will Hayes
Colin Patrick Lynch
Laird Koenig
John Heffernan
Adam Rifkin
John Sanford
Ed Boon
Gary Sherman
Paul Schiller
Drew Gitlin
Larry Doyle
Catherine Turney
Francis X. McCarthy Jr.
Victor Miller
Victor Colicchio
Larry Charles
Katsuhiro Ôtomo
Nicholas Kazan
Mark DiSalle
Sidney Lumet
Charles Frazier
Lois Duncan
Sidney Howard
Jerry Siegel
B.J. Nelson
Bill Condon
Stephen J. Anderson
Samuel A. Taylor
Bruce Porter
Paul Mayeda Berges
Frank Abagnale Jr.
