Movie Name,Actor Name
The Host,Max Irons
The Host,Diane Kruger
The Host,William Hurt
The Blue Butterfly,William Hurt
Amour,Jean-Louis Trintignant
Amour,Emmanuelle Riva
Amour,Isabelle Huppert
Amour,Alexandre Tharaud
Amour,William Shimell
The Bank Job,Jason Statham
The Bank Job,Saffron Burrows
The Bank Job,Richard Lintern
The Bank Job,Stephen Campbell Moore
The Bank Job,Daniel Mays
The Evil Dead,Bruce Campbell
The Evil Dead,Ted Raimi
The Evil Dead,Sam Raimi
Spy Kids: All the Time in the World,Jessica Alba
Spy Kids: All the Time in the World,Joel McHale
Spy Kids: All the Time in the World,Rowen Blanchard
Spy Kids: All the Time in the World,Mason Cook
Spy Kids: All the Time in the World,Jeremy Piven
Mortal Kombat: Annihilation,James Remar
Mortal Kombat: Annihilation,Ray Park
Mortal Kombat: Annihilation,Robin Shou
Mortal Kombat: Annihilation,Brian Thompson
Mortal Kombat: Annihilation,Marjean Holden
Roger & Me,Michael Moore
Underworld,Kate Beckinsale
Underworld,Scott Speedman
Underworld,Michael Sheen
Underworld,Shane Brolly
Underworld,Bill Nighy
McHale's Navy,Tim Curry
McHale's Navy,Bruce Campbell
McHale's Navy,Debra Messing
McHale's Navy,George Kennedy
McHale's Navy,Dean Stockwell
Appaloosa,Ed Harris
Appaloosa,Viggo Mortensen
Appaloosa,Renée Zellweger
Appaloosa,Jeremy Irons
Appaloosa,Timothy Spall
Last Action Hero,Arnold Schwarzenegger
Last Action Hero,F. Murray Abraham
Last Action Hero,Ian McKellen
Last Action Hero,Jean-Claude Van Damme
Last Action Hero,Danny De Vito
Fireproof,Kirk Cameron
Fireproof,Erin Bethea
Fireproof,Ken Bevel
Fireproof,Harris Malcom
Fireproof,Jason McLeod
Gigli,Ben Affleck
Gigli,Jennifer Lopez
Gigli,Al Pacino
Gigli,Christopher Walken
Gigli,Justin Bartha
Wordplay,Will Shortz
Wordplay,Bill Clinton
Wordplay,Bob Dole
Wordplay,Jon Stewart
Caddyshack,Bill Murray
Caddyshack,Chevy Chase
Caddyshack,Brian Doyle-Murray
Caddyshack,Rodney Dangerfield
Caddyshack,Michael O'Keefe
The Legend of Hercules,Kellan Lutz
The Legend of Hercules,Scott Adkins
The Legend of Hercules,Liam McIntyre
The Legend of Hercules,Liam Garrigan
The Legend of Hercules,Johnathon Schaech
Escape from New York,Kurt Russell
Escape from New York,Harry Dean Stanton
Escape from New York,Donald Pleasance
Escape from New York,Lee Van Cleef
Escape from New York,Ernest Borgnine
Live and Let Die,Bernard Lee
Live and Let Die,Lois Maxwell
Live and Let Die,Roger Moore
Live and Let Die,Yaphet Kotto
Live and Let Die,Jane Seymour
Amores Perros,Gael Garcia Bernal
Amores Perros,Adriana Barraza
The Adventures of Elmo in Grouchland,Vanessa Williams
The Adventures of Elmo in Grouchland,Steve Whitmire
The Adventures of Elmo in Grouchland,Carroll Spinney
The Adventures of Elmo in Grouchland,Mandy Patinkin
The Adventures of Elmo in Grouchland,Frank Oz
Awake,Hayden Christensen
Awake,Jessica Alba
Awake,Lena Olin
Awake,Terrence Howard
