Movie Name,Release Date,Genre,Budget,Gross Revenue,Url
Machete Kills,"Oct 11, 2013",Action,"$2,000,000","$8,008,161",/movie/Machete-Kills#tab=summary
Machine Gun Preacher,"Sep 23, 2011",Drama,"$30,000,000","$538,690",/movie/Machine-Gun-Preacher#tab=summary
Machine Head,"Dec 31, 2013",Thriller/Suspense, ,$0,/movie/Machine-Head#tab=summary
The Machine,"Apr 25, 2014",Thriller/Suspense, ,$0,/movie/Machine-The#tab=summary
The Machinist,"Oct 22, 2004",Thriller/Suspense,"$5,000,000","$1,082,044",/movie/Machinist-The#tab=summary
Machuca,"Jan 19, 2005",Drama, ,"$26,676",/movie/Machuca#tab=summary
Macon County Line,"Jan 1, 1974",, ,"$18,800,000",/movie/Macon-County-Line#tab=summary
Macumba Love,"Jan 1, 1960",, ,"$3,000,000",/movie/Macumba-Love#tab=summary
Mad About Mambo,"Aug 4, 2000",Romantic Comedy, ,"$61,663",/movie/Mad-About-Mambo#tab=summary
Mad City,"Nov 7, 1997",Drama,"$50,000,000","$10,561,038",/movie/Mad-City#tab=summary
Mad Cowgirl,"Jul 19, 2006",Horror, ,$0,/movie/Mad-Cowgirl#tab=summary
The Mad Doctor of Market Street,"Oct 18, 2010",Thriller/Suspense, ,$0,/movie/Mad-Doctor-of-Market-Street-The#tab=summary
Mad Dog and Glory,"Mar 5, 1993",Comedy, ,"$10,688,490",/movie/Mad-Dog-and-Glory#tab=summary
Mad Dog Time,"Nov 8, 1996",Comedy, ,"$80,026",/movie/Mad-Dog-Time#tab=summary
The Mad Ghoul,"Sep 16, 1997",Horror, ,$0,/movie/Mad-Ghoul-The#tab=summary
Mad Hot Ballroom,"May 13, 2005",Documentary,"$500,000","$8,117,961",/movie/Mad-Hot-Ballroom#tab=summary
Mad Love,"May 26, 1995",Drama, ,"$15,446,532",/movie/Mad-Love-(1995)#tab=summary
Mad Love (2002),"Aug 30, 2002",, ,"$279,605",/movie/Mad-Love-(2002)#tab=summary
Mad Max,"Mar 21, 1980",Action,"$200,000","$8,750,000",/movie/Mad-Max#tab=summary
Mad Max 2: The Road Warrior,"May 21, 1982",Action,"$2,000,000","$24,600,832",/movie/Mad-Max-2-The-Road-Warrior#tab=summary
Mad Max Beyond Thunderdome,"Jul 10, 1985",Action,"$10,000,000","$36,230,219",/movie/Mad-Max-Beyond-Thunderdome#tab=summary
Mad Max: Fury Road,"May 15, 2015",Action, ,$0,/movie/Mad-Max-Fury-Road#tab=summary
Mad Money,"Jan 18, 2008",Comedy,"$22,000,000","$20,668,843",/movie/Mad-Money#tab=summary
Madadayo,"Mar 20, 1998",Drama,"$11,900,000","$48,856",/movie/Madadayo#tab=summary
Madagascar,"May 27, 2005",Adventure,"$75,000,000","$193,595,521",/movie/Madagascar#tab=summary
Madagascar 3: Europe's Most Wanted,"Jun 8, 2012",Adventure,"$145,000,000","$216,391,482",/movie/Madagascar-3#tab=summary
Madagascar 4,"May 18, 2018",Adventure, ,$0,/movie/Madagascar-4#tab=summary
Madagascar: Escape 2 Africa,"Nov 7, 2008",Comedy,"$150,000,000","$180,010,950",/movie/Madagascar-Escape-2-Africa#tab=summary
Madam Butterfly 3D,"Dec 31, 2012",, ,$0,/movie/Madam-Butterfly-3D#tab=summary
Madama Butterfly,"Apr 19, 2008",Concert/Performance, ,$0,/movie/Madama-Butterfly#tab=summary
Madame Bovary,"Dec 31, 2014",Drama, ,$0,/movie/Madame-Bovary#tab=summary
Madame Irma,"Dec 31, 2006",, ,$0,/movie/Madame-Irma#tab=summary
Madame Sata,"Jul 9, 2003",, ,"$198,181",/movie/Madame-Sata#tab=summary
Madame Sousatzka,"Jan 1, 1988",, ,"$3,548,000",/movie/Madame-Sousatzka#tab=summary
Madamoiselle,"Jun 15, 2001",, ,"$60,859",/movie/Madamoiselle#tab=summary
The Maddening,"Jan 1, 1995",, ,"$5,000",/movie/Maddening-The#tab=summary
Made,"Jul 13, 2001",Comedy,"$5,000,000","$5,308,707",/movie/Made#tab=summary
Made for Each Other,"Dec 2, 2009",, ,$0,/movie/Made-for-Each-Other#tab=summary
Made In America,"May 28, 1993",Comedy, ,"$44,942,695",/movie/Made-In-America#tab=summary
Made in America,"Jul 11, 2014",Documentary, ,$0,/movie/Made-in-America-(2014)#tab=summary
Made in Dagenham,"Nov 19, 2010",Drama,"$8,000,000","$1,095,369",/movie/Made-in-Dagenham#tab=summary
Made in Heaven,"Nov 6, 1987",Drama, ,"$4,000,000",/movie/Made-in-Heaven#tab=summary
Made in Jamaica,"Jan 23, 2009",Documentary, ,"$3,149",/movie/Made-in-Jamaica#tab=summary
Made in U.S.A.,"Jan 9, 2009",Drama, ,"$95,209",/movie/Made-in-the-U-S-A#tab=summary
Made of Honor,"May 2, 2008",Romantic Comedy,"$40,000,000","$46,012,734",/movie/Made-of-Honor#tab=summary
Made-Up,"Jan 23, 2004",, ,"$79,766",/movie/Made-Up#tab=summary
A Madea Christmas: The Play,"Nov 22, 2011",Comedy, ,$0,/movie/Madea-Christmas-The-Play-A#tab=summary
Madea Goes to Jail,"Jun 27, 2006",, ,$0,/movie/Madea-Goes-to-Jail#tab=summary
Madea Goes To Jail,"Feb 20, 2009",Comedy,"$17,500,000","$90,508,336",/movie/Madea-Goes-To-Jail-(2009)#tab=summary
Madea's Big Happy Family: The Play,"Nov 23, 2010",Drama, ,$0,/movie/Madea-s-Big-Happy-Family-The-Play#tab=summary
Madea's Big Happy Family,"Apr 22, 2011",Drama, ,"$53,345,287",/movie/Madeas-Big-Happy-Family#tab=summary
Madea's Family Reunion,"Feb 24, 2006",Comedy,"$10,000,000","$63,257,940",/movie/Madeas-Family-Reunion#tab=summary
Madeline,"Jul 10, 1998",Comedy, ,"$29,858,048",/movie/Madeline#tab=summary
Mademoiselle C,"Sep 11, 2013",Documentary, ,$0,/movie/Mademoiselle-C#tab=summary
Mademoiselle Chambon,"May 28, 2010",, ,"$530,491",/movie/Mademoiselle-Chambon#tab=summary
Madhouse,"Feb 16, 1990",Comedy, ,"$20,438,179",/movie/Madhouse#tab=summary
Madigan,"Jun 1, 2010",Drama, ,$0,/movie/Madigan#tab=summary
Madison,"Apr 22, 2005",Drama,"$15,500,000","$517,262",/movie/Madison#tab=summary
Madison County,"May 8, 2012",Horror, ,$0,/movie/Madison-County#tab=summary
Madly Madagascar,"Jan 29, 2013",Adventure, ,$0,/movie/Madly-Madagascar#tab=summary
The Madness of King George,"Dec 28, 1994",Drama, ,"$15,122,669",/movie/Madness-of-King-George-The#tab=summary
Madodayo,"Sep 8, 2000",, ,"$42,905",/movie/Madodayo#tab=summary
Madonna: Truth or Dare,"May 10, 1991",Concert/Performance, ,"$15,012,935",/movie/Madonna-Truth-or-Dare#tab=summary
Madso's War,"Sep 6, 2011",, ,$0,/movie/Madsos-War#tab=summary
