Movie Name,Release Date,Genre,Budget,Gross
Mrs. Winterbourne, 1996/4/19,Romantic Comedy,25000000.0,10039566.0
Much Ado About Nothing, 1993/5/7,Comedy,8000000.0,22549338.0
Mud, 2013/4/26,Drama,10000000.0,21590086.0
The Mudge Boy, 2004/5/7,Drama,800000.0,62544.0
Mulan, 1998/6/19,Adventure,90000000.0,120620254.0
Mulholland Drive, 2001/10/8,Drama,15000000.0,7219578.0
Multiplicity, 1996/7/17,Comedy,45000000.0,20133326.0
Mumford, 1999/9/24,Comedy,28700000.0,4559569.0
The Mummy Returns, 2001/5/4,Adventure,98000000.0,202007640.0
The Mummy, 1999/5/7,Adventure,80000000.0,155385488.0
The Mummy: Tomb of the Dragon Emperor, 2008/8/1,Adventure,175000000.0,102491776.0
Munich, 2005/12/23,Drama,75000000.0,47379090.0
The Muppet Christmas Carol, 1992/12/11,Comedy,12000000.0,27281507.0
Muppets From Space, 1999/7/14,Comedy,24000000.0,16304786.0
Muppets Most Wanted, 2014/3/21,Comedy,55000000.0,51178893.0
The Muppets, 2011/11/23,Comedy,45000000.0,88625922.0
Murder by Numbers, 2002/4/19,Thriller/Suspense,50000000.0,31874869.0
Murderball, 2005/7/8,Documentary,350000.0,1531154.0
The Muse, 1999/8/27,Comedy,15000000.0,11614954.0
Music and Lyrics, 2007/2/14,Romantic Comedy,40000000.0,50572589.0
The Musketeer, 2001/9/7,Adventure,40000000.0,27053815.0
Must Love Dogs, 2005/7/29,Romantic Comedy,35000000.0,43894863.0
Mutual Appreciation, 2006/9/1,Comedy,30000.0,103509.0
Mutual Friends, 2013/12/31,Comedy,450000.0,0.0
My Baby's Daddy, 2004/1/9,Comedy,12000000.0,17321573.0
My Best Friend's Girl, 2008/9/19,Comedy,20000000.0,19219250.0
My Best Friend's Wedding, 1997/6/20,Comedy,46000000.0,126813153.0
My Big Fat Greek Wedding, 2002/4/19,Romantic Comedy,5000000.0,241438208.0
My Big Fat Independent Movie, 2005/9/30,Comedy,3000000.0,4655.0
My Bloody Valentine, 2009/1/16,Horror,14000000.0,51545952.0
My Boss's Daughter, 2003/8/22,Romantic Comedy,14000000.0,15549702.0
My Cousin Vinny, 1992/3/13,Comedy,11000000.0,52929168.0
My Date With Drew, 2005/8/5,Documentary,1100.0,181041.0
My Dog Skip, 2000/1/12,Drama,7000000.0,34099640.0
My Dog Tulip, 2010/9/1,Drama,350000.0,246574.0
My Fair Lady, 1964/10/22,Musical,17000000.0,72000000.0
My Favorite Martian, 1999/2/12,Comedy,60000000.0,36850101.0
My Fellow Americans, 1996/12/20,Comedy,21500000.0,22331846.0
My Life in Ruins, 2009/6/5,Romantic Comedy,17000000.0,8665206.0
My Name is Khan, 2010/2/12,Drama,8470000.0,4046336.0
My Own Private Idaho, 1991/9/29,Black Comedy,2500000.0,6401336.0
My Sister's Keeper, 2009/6/26,Drama,27500000.0,49200230.0
My Soul to Take, 2010/10/8,Horror,25000000.0,14744435.0
My Stepmother Is an Alien, 1988/12/9,Comedy,16000000.0,13854000.0
My Summer of Love, 2005/6/17,Drama,1700000.0,1000915.0
"Mystery, Alaska", 1999/10/1,Comedy,28000000.0,8891623.0
Mystery Men, 1999/8/6,Comedy,68000000.0,29762011.0
Mystic Pizza, 1988/10/21,Comedy,6000000.0,12793213.0
Mystic River, 2003/10/8,Drama,30000000.0,90135191.0
The X Files: Fight the Future, 1998/6/19,Action,66000000.0,83898313.0
The X-Files: I Want to Believe, 2008/7/25,Action,35000000.0,20982478.0
X-Men, 2000/7/14,Action,75000000.0,157299717.0
X-Men: Days of Future Past, 2014/5/23,Action,200000000.0,233783836.0
X-Men: First Class, 2011/6/3,Action,160000000.0,146408305.0
X-Men Origins: Wolverine, 2009/5/1,Action,150000000.0,179883157.0
X-Men: The Last Stand, 2006/5/26,Action,210000000.0,234362462.0
X2, 2003/5/2,Action,125000000.0,214949694.0
Xinhai geming, 2011/10/7,Drama,30000000.0,135739.0
xXx, 2002/8/9,Action,70000000.0,141930000.0
XXX: State of the Union, 2005/4/29,Action,60000000.0,26873932.0
F.I.S.T, 1978/4/13,Drama,11000000.0,20388920.0
Fabled, 2004/12/10,Horror,400000.0,31425.0
Le Fabuleux destin d'Amélie Poulain, 2001/11/2,Comedy,10350000.0,33201661.0
Face/Off, 1997/6/27,Action,80000000.0,112276146.0
Facing the Giants, 2006/9/29,Drama,100000.0,10178331.0
Factory Girl, 2006/12/29,Drama,7000000.0,1661464.0
The Faculty, 1998/12/25,Horror,15000000.0,40283321.0
Fahrenheit 9/11, 2004/6/23,Documentary,6000000.0,119114517.0
Failure to Launch, 2006/3/10,Romantic Comedy,50000000.0,88715192.0
Fair Game, 1995/11/3,Action,50000000.0,11497497.0
Faithful, 1996/4/5,Black Comedy,13000000.0,2104439.0
Falcon Rising, 2014/9/5,Adventure,4500000.0,11774.0
Die Fälscher, 2008/2/22,Drama,6250000.0,5488570.0
Fame, 2009/9/25,Musical,18000000.0,22455510.0
The Family Man, 2000/12/22,Comedy,60000000.0,75764085.0
Family Plot, 1976/4/9,Black Comedy,3000000.0,13200000.0
The Family Stone, 2005/12/16,Comedy,18000000.0,60062868.0
The Family, 2013/9/13,Black Comedy,30000000.0,36918811.0
The Fan, 1996/8/16,Thriller/Suspense,55000000.0,18582965.0
Fantasia, 1940/11/13,Musical,2280000.0,83320000.0
Fantasia 2000 (IMAX), 2000/1/1,Musical,80000000.0,60507228.0
Fantasia 2000 (Theatrical Release), 2000/6/16,Musical,80000000.0,9103630.0
Fantastic Four, 2005/7/8,Action,87500000.0,154696080.0
Fantastic Four: Rise of the Silver Surfer, 2007/6/15,Action,120000000.0,131921738.0
The Fantastic Mr. Fox, 2009/11/13,Adventure,40000000.0,21002919.0
Far From Heaven, 2002/11/8,Drama,13500000.0,15901849.0
Farce of the Penguins, 2007/1/30,Comedy,5000000.0,0.0
Fargo, 1996/3/8,Thriller/Suspense,7000000.0,24567751.0
Fascination, 2005/1/28,Thriller/Suspense,5000000.0,16670.0
Fast & Furious, 2009/4/3,Action,85000000.0,155064265.0
Fast and Furious 6, 2013/5/24,Action,160000000.0,238679850.0
The Fast and the Furious, 2001/6/22,Action,38000000.0,144512310.0
